,sentence,sentence_preprocessed,sentence_length,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context
111,根據統計，高職每年約十六萬人，四技二專每年招生十四萬人，升學機會率達八成；專校每年畢業人數約十二萬人，二技每年招生超過六萬人，升學機會率將近五成。,根據 統計 高職 每 年 約 十六萬 人 四技 二專 每 年 招生 十四萬 人 升學 機會率 達 八成 專校 每 年 畢業 人數 約 十二萬 人 二技 每 年 招生 超過 六萬 人 升學 機會率 將近 五成,38,"{'High': 29, 'Low': 9}","{'第4*級': 2, '第5級': 4, 'Unknown': 15, '第1*級': 4, '第1級': 8, '第3*級': 2, '第3級': 1, '第4級': 2}",5,Y,Y
112,大學總量管制可望91學年實施,大學 總量 管制 可望 91學年 實施,6,"{'High': 4, 'Low': 2}","{'第1級': 1, '第7級': 2, '第6級': 2, 'Unknown': 1}",1,N,Y
113,【記者林淑美報導】教育部昨天表示，將推動大學總量管制制度、加速推動大學教師資格授權自審、強化校務基金制度彈性，以及推動大學入學方案等，強化大學自主的機制，提升國內高等教育追求創新卓越的能力。,記者 林淑美 報導 教育部 昨天 表示 將 推動 大學 總量 管制 制度 加速 推動 大學 教師 資格 授權 自審 強化 校務 基金 制度 彈性 以及 推動 大學 入學 方案 等 強化 大學 自主 的 機制 提升 國內 高等 教育 追求 創新 卓越 的 能力,44,"{'High': 41, 'Low': 3}","{'第4級': 5, 'Unknown': 3, '第5級': 13, '第1級': 7, '第4*級': 6, '第7級': 1, '第6級': 6, '第3*級': 1, '第3級': 1, '第2級': 1}",2,Y,Y
114,教育部預定九十一學年度開始實施大學總量管制，也就是由學校在評估校地、校舍和師資等資源，以及考量可容納系所、學生規模等條件，自行調整系所和招生名額。,教育部 預定 九十一學年度 開始 實施 大學 總量 管制 也 就 是 由 學校 在 評估 校地 校舍 和 師資 等 資源 以及 考量 可 容納 系所 學生 規模 等 條件 自行 調整 系所 和 招生 名額,36,"{'High': 32, 'Low': 4}","{'第5級': 6, 'Unknown': 7, '第2級': 1, '第6級': 3, '第1級': 6, '第7級': 4, '第4*級': 4, '第1*級': 1, '第3*級': 2, '第4級': 2}",2,Y,Y
115,另外，目前已有二十七校經過教育部授權自行審查教師資格。教育部表示，未來也將以總量管制方式全面推動授權自審。,另外 目前 已 有 二十七 校 經過 教育部 授權 自行 審查 教師 資格 教育部 表示 未來 也 將 以 總量 管制 方式 全面 推動 授權 自審,26,"{'High': 23, 'Low': 3}","{'第3級': 2, '第4級': 3, '第1級': 2, 'Unknown': 3, '第2級': 1, '第5級': 7, '第6級': 4, '第4*級': 3, '第7級': 1}",3,Y,N
116,至於推展多年的國立大學校務基金制度，不少學校反應現行制度仍不夠靈活，現有法規限制仍多，對於學校開源節流或努力有效經營基金的誘因不足。基於上述原因，教育部指出，將研擬政府須負擔補助的合理額度比例，建立更彈性運作的配套措施，使校務基金發揮更大效益。,至於 推展 多 年 的 國立 大學 校務 基金 制度 不少 學校 反應 現行 制度 仍 不 夠 靈活 現有 法規 限制 仍 多 對於 學校 開源節流 或 努力 有效 經營 基金 的 誘因 不足 基於 上述 原因 教育部 指出 將 研擬 政府 須 負擔 補助 的 合理 額度 比例 建立 更 彈性 運作 的 配套 措施 使 校務 基金 發揮 更 大 效益,64,"{'High': 63, 'Low': 1}","{'第5級': 17, '第6級': 9, '第1級': 12, 'Unknown': 10, '第4級': 6, '第1*級': 1, '第4*級': 3, '第3級': 2, '第2級': 1, '第7級': 2, '第3*級': 1}",2,Y,Y
117,另外，九十一學年度全面實施的大學多元入學方案，將落實「考招分離」原則，滿足學校選才的需求。,另外 九十一學年度 全面 實施 的 大學 多元 入學 方案 將 落實 考 招 分離 原則 滿足 學校 選才 的 需求,20,"{'High': 18, 'Low': 2}","{'第3級': 1, 'Unknown': 2, '第5級': 6, '第6級': 4, '第1級': 4, '第2*級': 1, '第4*級': 1, '第4級': 1}",1,Y,N
118,校園風光,校園 風光,2,{'High': 2},"{'第3級': 1, '第6級': 1}",0,N,Y
119,嘉市民族國小,嘉市 民族 國小,3,"{'Low': 1, 'High': 2}","{'Unknown': 1, '第4*級': 1, '第3*級': 1}",0,N,Y
120,△本校六年三班學生林騰立擅長作文、演講，最近參加全國網路作文比賽榮獲第一名，也是這項比賽唯一獲得評審一致無異議評定的特優者。林騰立多才多藝，學業成績也名列前茅，是師生心目中的好學生之一。（修）,本 校 六年三班 學生 林騰立 擅長 作文 演講 最近 參加 全 國 網路 作文 比賽 榮獲 第一 名 也 是 這 項 比賽 唯一 獲得 評審 一致 無異議 評定 的 特優 者 林騰立 多才多藝 學業 成績 也 名列前茅 是 師生 心目中 的 好學生 之 一 修,46,"{'High': 37, 'Low': 9}","{'第1級': 11, 'Unknown': 9, '第6級': 1, '第3*級': 2, '第4級': 2, '第2級': 9, '第7級': 4, '第5級': 8}",8,Y,Y
121,南縣大成國小,南縣 大成 國小,3,"{'Low': 2, 'High': 1}","{'Unknown': 2, '第3*級': 1}",0,N,Y
122,△本校女教師排球隊十多年前稱霸全省排壇，最近一個月在黃輝玉校長和陳俊吉主任的鼓舞下，報名參加縣長杯比賽，展現精湛球技，三戰連勝勇奪冠軍，令人欽佩她們的奮戰精神。（綠青）,本 校 女 教師 排球隊 十多 年 前 稱霸 全 省 排壇 最近 一 個 月 在 黃輝玉 校長 和 陳俊吉 主任 的 鼓舞 下 報名 參加 縣長杯 比賽 展現 精湛 球技 三 戰 連勝 勇奪 冠軍 令 人 欽佩 她們 的 奮戰 精神 綠青,45,"{'High': 33, 'Low': 12}","{'第1級': 10, 'Unknown': 13, '第1*級': 3, '第4級': 5, '第7級': 2, '第2級': 4, '第6級': 5, '第5級': 2, '第3*級': 1}",4,Y,Y
123,花縣大禹國小,花縣 大禹 國小,3,"{'Low': 2, 'High': 1}","{'Unknown': 2, '第3*級': 1}",0,N,Y
124,△本校位於花東縱谷間，是所迷你小學，僅六十七名小朋友。在前任校長林夏盛及現任校長潘飛虎大力倡導下，情意教學開花結果；繼去年勇奪舞蹈比賽優等後，今年又獲花蓮縣音樂比賽南區節奏樂隊甲等。全體師生同仁喜出望外，家長也一致讚揚。（國）,本 校 位於 花東 縱谷 間 是 所 迷你 小學 僅 六十七 名 小朋友 在 前任 校長 林夏盛 及 現任 校長 潘飛虎 大力 倡導 下 情意 教學 開花 結果 繼 去年 勇奪 舞蹈 比賽 優等 後 今年 又 獲 花蓮縣 音樂 比賽 南區 節奏 樂隊 甲等 全體 師生 同仁 喜出望外 家長 也 一致 讚揚 國,55,"{'High': 41, 'Low': 14}","{'第1級': 7, 'Unknown': 14, '第6級': 6, '第2級': 6, '第5級': 9, '第2*級': 1, '第1*級': 3, '第4級': 4, '第7級': 3, '第4*級': 1, '第3*級': 1}",6,Y,Y
125,高縣灣內國小,高縣 灣內 國小,3,"{'Low': 2, 'High': 1}","{'Unknown': 2, '第3*級': 1}",0,N,Y
126,△本校志工隊成立以來，常常可在花圃、圖書室看到他們忙碌的背影；菜園在兩位志工爸爸利用空檔整地、播種，一畦畦綠意盎然的蔬菜已可採收了。運動會前，志工們忙著製作海報張貼，灌氣球布置校園，運動會當天更全體投入，協助活動進行。全校師生都謝謝他們的辛苦！（筱曉）,本 校 志工隊 成立 以來 常常 可 在 花圃 圖書室 看到 他們 忙碌 的 背影 菜園 在 兩 位 志工 爸爸 利用 空檔 整地 播種 一畦畦 綠意盎然 的 蔬菜 已 可 採收 了 運動會 前 志工 們 忙著 製作 海報 張貼 灌 氣球 布置 校園 運動會 當天 更 全體 投入 協助 活動 進行 全 校 師生 都 謝謝 他們 的 辛苦 筱曉,62,"{'High': 47, 'Low': 15}","{'第1級': 13, 'Unknown': 15, '第4*級': 7, '第1*級': 4, '第5級': 10, '第3*級': 1, '第7級': 3, '第4級': 1, '第3級': 2, '第6級': 3, '第2級': 3}",6,Y,Y
127,屏市忠孝國小,屏市 忠孝 國小,3,"{'Low': 2, 'High': 1}","{'Unknown': 2, '第3*級': 1}",0,N,Y
128,△本校五年二班邱繼毅小朋友的書法和繪畫都不錯，多次在校內及校外比賽獲獎。農曆春節將到，導師馬惠群特地請他寫了兩幅春聯貼在教室前門和後門，讓全班學生提早感受年的氣氛。（山水）,本 校 五年二班 邱繼毅 小朋友 的 書法 和 繪畫 都 不錯 多 次 在 校 內 及 校 外 比賽 獲獎 農曆 春節 將 到 導師 馬惠群 特地 請 他 寫 了 兩 幅 春聯 貼 在 教室 前門 和 後門 讓 全 班 學生 提早 感受 年 的 氣氛 山水,51,"{'High': 44, 'Low': 7}","{'第1級': 13, 'Unknown': 12, '第2級': 6, '第3*級': 1, '第5級': 6, '第1*級': 4, '第3級': 2, '第4級': 2, '第6級': 2, '第4*級': 3}",4,Y,Y
129,東縣霧鹿國小,東縣 霧鹿 國小,3,"{'Low': 2, 'High': 1}","{'Unknown': 2, '第3*級': 1}",0,N,Y
130,△本校張校長參加全國「中央全民防衛動員準備業務會報宣導全民國防徵文比賽」，在兩千多位參賽者中脫穎而出獲佳作。日前接受國防部頒獎，並應邀參觀海軍拉法葉戰艦，深感光榮。（張）,本 校 張 校長 參加 全 國 中央 全民 防衛 動員 準備 業務 會報 宣導 全民 國防 徵文 比賽 在 兩千多 位 參賽 者 中 脫穎而出 獲 佳作 日前 接受 國防部 頒獎 並 應邀 參觀 海軍 拉法葉 戰艦 深感 光榮 張,41,"{'High': 35, 'Low': 6}","{'第1級': 3, 'Unknown': 12, '第1*級': 3, '第4級': 2, '第2級': 4, '第5級': 2, '第6級': 6, '第4*級': 2, '第7級': 6, '第3*級': 1}",4,Y,Y
131,高市莒光國小發行鄉土護照囡仔冊,高市 莒光 國小 發行 鄉土 護照 囡仔冊,7,"{'Low': 3, 'High': 4}","{'Unknown': 3, '第3*級': 1, '第5級': 1, '第6級': 1, '第4級': 1}",1,Y,Y
132,【記者黃德秀報導】「小朋友，家鄉這麼美，有沒有去過？」為落實鄉土教學，讓小朋友認識家鄉、會說母語，高雄市莒光國小迎接二十一世紀，送給全校小朋友一份禮物—鄉土護照「莒光囡仔冊」，二十四開彩色印刷，簡明扼要引導小朋友認識「莒光人自己的故事」，使莒光國小兩千名小朋友在新世紀更愛鄉土。,記者 黃德秀 報導 小朋友 家鄉 這麼 美 有沒有 去 過 為 落實 鄉土 教學 讓 小朋友 認識 家鄉 會 說 母語 高雄市 莒光 國小 迎接 二十一世紀 送給 全 校 小朋友 一 份 禮物 鄉土 護照 莒光 囡仔冊 二十四 開 彩色 印刷 簡明 扼要 引導 小朋友 認識 莒光人 自己 的 故事 使 莒光 國小 兩千 名 小朋友 在 新 世紀 更 愛 鄉土,62,"{'High': 54, 'Low': 8}","{'第4級': 6, 'Unknown': 15, '第5級': 4, '第2級': 13, '第1*級': 6, '第1級': 6, '第6級': 6, '第3*級': 3, '第3級': 1, '第7級': 2}",12,Y,Y
133,這本莒光鄉土護照「囡仔冊」，是高雄市繼三民國小後的第二本國小鄉土護照，由校長扮演土地公，引導小朋友以過關方式完成「會說十句鄉土諺語」、「會唱我愛高雄市歌」、「會念七首囡仔歌」、「會認五種神明」、「會玩一種布袋戲」、「走過一趟高雄港」、「爬過一次柴山」、「知道都會公園、半屏山、後勁溪在哪裡」，小朋友一關關通過，最後就可以取得「鄉土小博士」頭銜。手冊內容全部以閩南語發音設計，圖文並茂，生動有趣，十分吸引小朋友。,這 本 莒光 鄉土 護照 囡仔冊 是 高雄市 繼 三民 國小 後 的 第二 本 國小 鄉土 護照 由 校長 扮演 土地公 引導 小朋友 以 過關 方式 完成 會 說 十 句 鄉土 諺語 會 唱 我 愛 高雄市歌 會 念 七 首 囡仔歌 會 認 五 種 神明 會 玩 一 種 布袋戲 走過 一 趟 高雄港 爬過 一 次 柴山 知道 都會 公園 半屏山 後勁溪 在 哪裡 小朋友 一關關 通過 最後 就 可以 取得 鄉土 小 博士 頭銜 手冊 內容 全部 以 閩南語 發音 設計 圖文並茂 生動 有趣 十分 吸引 小朋友,93,"{'High': 78, 'Low': 15}","{'第1級': 20, 'Unknown': 21, '第6級': 10, '第4級': 10, '第3*級': 2, '第4*級': 6, '第2級': 7, '第5級': 5, '第1*級': 10, '第7級': 1, '第3級': 1}",15,Y,Y
134,高市體育季歡迎大家活動筋骨,高市 體育季 歡迎 大家 活動 筋骨,6,"{'Low': 3, 'High': 3}","{'Unknown': 2, '第2級': 2, '第1級': 1, '第7級': 1}",1,Y,Y
135,【記者黃德秀報導】以「高雄二十一，健康笑嘻嘻」為主題的高雄市第二十一屆體育季系列活動，昨天在「港都杯全國青少年網球分齡排名賽」登場後，正式展開長達九十天四十二個場次的活動。,記者 黃德秀 報導 以 高雄 二十一 健康 笑嘻嘻 為 主題 的 高雄市 第二十一 屆 體育季 系列 活動 昨天 在 港都杯 全 國 青少年 網球 分齡 排名賽 登場 後 正式 展開 長達 九十 天 四十二 個 場次 的 活動,38,"{'High': 29, 'Low': 9}","{'第4級': 3, 'Unknown': 13, '第5級': 6, '第2級': 4, '第1級': 7, '第6級': 2, '第1*級': 1, '第2*級': 1, '第3*級': 1}",10,Y,Y
136,這項體育季活動內容包括拔河錦標賽等競技活動十八項，幼兒體能運動大會等休閒推廣活動十四項，創作舞蹈比賽等欣賞、展覽活動四項，籃球裁判講習會等學術活動六項，對象不分年齡與族群，活動持續到三月三十一日，歡迎全民參與。,這 項 體育季 活動 內容 包括 拔河 錦標賽 等 競技 活動 十八 項 幼兒 體能 運動 大會 等 休閒 推廣 活動 十四 項 創作 舞蹈 比賽 等 欣賞 展覽 活動 四 項 籃球 裁判 講習會 等 學術 活動 六 項 對象 不 分 年齡 與 族群 活動 持續 到 三月 三十一日 歡迎 全民 參與,54,"{'High': 50, 'Low': 4}","{'第1級': 6, '第5級': 14, 'Unknown': 11, '第2級': 8, '第4級': 5, '第3*級': 5, '第1*級': 1, '第4*級': 3, '第2*級': 1}",4,Y,Y
137,主辦單位高雄市教育局表示，配合元旦起實施週休二日，今年活動設計以動、靜態兼顧，親海及休閒為主，同時打破縣市區域限制，歡迎鄰近縣市民眾踴躍加入。,主辦 單位 高雄市 教育局 表示 配合 元旦 起 實施 週休 二 日 今年 活動 設計 以 動 靜態 兼顧 親 海 及 休閒 為主 同時 打破 縣市 區域 限制 歡迎 鄰近 縣市 民眾 踴躍 加入,35,"{'High': 33, 'Low': 2}","{'第5級': 6, 'Unknown': 6, '第4*級': 7, '第3*級': 3, '第6級': 4, '第1級': 3, '第2級': 3, '第4級': 2, '第7級': 1}",2,Y,Y
138,東縣利嘉以音樂祭迎接新世紀,東縣 利嘉 以 音樂祭 迎接 新 世紀,7,"{'Low': 3, 'High': 4}","{'Unknown': 3, '第5級': 2, '第1級': 1, '第4級': 1}",1,Y,Y
139,【記者洪雁報導】臺東縣卑南鄉利嘉國小昨天在校園舉辦一場「利卡夢、梅之宴音樂祭」，邀請外國音樂家以音樂和大家一起迎接二十一世紀。,記者 洪雁 報導 臺東縣 卑南鄉 利嘉 國小 昨天 在 校園 舉辦 一 場 利卡夢 梅 之 宴 音樂祭 邀請 外國 音樂家 以 音樂 和 大家 一起 迎接 二十一世紀,28,"{'High': 20, 'Low': 8}","{'第4級': 3, 'Unknown': 9, '第5級': 5, '第3*級': 1, '第1級': 4, '第1*級': 2, '第3級': 1, '第2級': 2, '第4*級': 1}",6,Y,Y
140,音樂會在校內梅園登場，邀請舊金山音樂學院的四位音樂家表演，有曾和馬友友同臺演出的大提琴家朱立安‧赫希，曾獲國際比賽首獎的中提琴家伊安‧蘇恩森，小提琴家保羅‧赫希，以及長笛家香南‧湯普森，節目還安排社區民眾的原住民歌舞表演，讓在場的家長和小朋友共享一場跨世紀的音樂盛會。,音樂會 在 校 內 梅園 登場 邀請 舊金山 音樂 學院 的 四 位 音樂家 表演 有 曾 和 馬友友 同 臺 演出 的 大提琴家 朱立安赫希 曾 獲 國際 比賽 首獎 的 中提琴家 伊安蘇恩森 小提琴家 保羅赫希 以及 長笛家 香南湯普森 節目 還 安排 社區 民眾 的 原住民 歌舞 表演 讓 在場 的 家長 和 小朋友 共享 一 場 跨 世紀 的 音樂 盛會,61,"{'High': 49, 'Low': 12}","{'Unknown': 20, '第1*級': 1, '第3級': 1, '第6級': 2, '第4級': 10, '第2級': 7, '第4*級': 5, '第1級': 10, '第5級': 5}",14,Y,Y
141,嘉市元旦升旗典禮國際童軍共襄盛舉,嘉市 元旦 升旗 典禮 國際 童軍 共襄盛舉,7,"{'Low': 5, 'High': 2}","{'Unknown': 4, '第4*級': 1, '第4級': 2}",1,Y,Y
142,【記者邱生茂報導】嘉義市元旦升旗典禮，昨天上午七點在市立棒球場前廣場舉行，市府與民間社團、跨世紀國際童軍大露營的童子軍及市民共一千多人參與，典禮由代理市長陳麗貞主持。,記者 邱生茂 報導 嘉義市 元旦 升旗 典禮 昨天 上午 七點 在 市立 棒球場 前 廣場 舉行 市府 與 民間 社團 跨 世紀 國際 童軍 大露營 的 童子軍 及 市民 共 一千多 人 參與 典禮 由 代理 市長 陳麗貞 主持,39,"{'High': 30, 'Low': 9}","{'第4級': 6, 'Unknown': 13, '第5級': 9, '第4*級': 4, '第1級': 5, '第1*級': 2}",7,Y,Y
143,代理市長表示，很高興能和市民及各國童軍一起迎接新世紀到來，市府團隊將繼續提供市民更好的服務。,代理 市長 表示 很 高興 能 和 市民 及 各 國 童軍 一起 迎接 新 世紀 到來 市府 團隊 將 繼續 提供 市民 更 好 的 服務,27,"{'High': 26, 'Low': 1}","{'第5級': 6, 'Unknown': 7, '第4*級': 3, '第1級': 5, '第2級': 2, '第1*級': 1, '第4級': 2, '第3級': 1}",0,Y,Y
144,陳代理市長隨後前往國際童軍大露營的營地視察，品嘗童軍的炊事手藝，也歡迎他們日後再回來重遊舊地。,陳 代理 市長 隨後 前往 國際 童軍 大露營 的 營地 視察 品嘗 童軍 的 炊事 手藝 也 歡迎 他們 日後 再 回來 重遊 舊地,24,"{'High': 14, 'Low': 10}","{'Unknown': 10, '第5級': 3, '第6級': 3, '第4級': 1, '第1級': 4, '第7級': 1, '第2級': 1, '第1*級': 1}",1,Y,Y
145,喜洋洋,喜洋洋,1,{'Low': 1},{'Unknown': 1},1,N,Y
146,高雄市政府昨天上午在市府前廣場，舉行元旦升旗典禮，以及一項為捷運起跑活動。活動中特別邀請十對結婚五十年的阿公阿媽，坐上三輪車，回味古早的交通工具，喜氣洋洋的參加活動。,高雄市 政府 昨天 上午 在 市府 前 廣場 舉行 元旦 升旗 典禮 以及 一 項 為 捷運 起跑 活動 活動 中 特別 邀請 十 對 結婚 五十 年 的 阿公 阿媽 坐上 三輪車 回味 古早 的 交通 工具 喜氣洋洋 的 參加 活動,42,"{'High': 33, 'Low': 9}","{'Unknown': 10, '第4級': 7, '第1級': 10, '第1*級': 1, '第5級': 4, '第4*級': 1, '第3級': 3, '第2級': 5, '第7級': 1}",3,Y,Y
147,青少年花七天完成溜直排輪環臺壯舉陳總統接見勉智育與體育並重,青少年 花 七 天 完成 溜 直排輪 環 臺 壯舉 陳 總統 接見 勉 智育 與 體育 並重,18,"{'High': 11, 'Low': 7}","{'第4級': 2, 'Unknown': 7, '第1級': 2, '第4*級': 2, '第6級': 3, '第2級': 1, '第5級': 1}",2,Y,Y
148,【記者夏成淵報導】陳水扁總統昨天接見「用腳愛臺灣、環臺成年禮」的青少年，對他們以堅忍不拔的毅力，用七天時間完成溜直排輪環繞全臺的壯舉，表達恭喜之意，並且期勉青少年重視智育與體育的平衡。,記者 夏成淵 報導 陳水扁 總統 昨天 接見 用 腳 愛 臺灣 環 臺 成年禮 的 青少年 對 他們 以 堅忍不拔 的 毅力 用 七 天 時間 完成 溜 直排輪 環繞 全 臺 的 壯舉 表達 恭喜 之 意 並且 期勉 青少年 重視 智育 與 體育 的 平衡,47,"{'High': 37, 'Low': 10}","{'第4級': 7, 'Unknown': 9, '第5級': 5, '第1級': 15, '第6級': 5, '第2級': 3, '第4*級': 3}",7,Y,Y
149,陳總統表示，這群青少年經歷了一場身體與智慧的洗禮，成功的以活力展現成長的過程與精神，正是全體國人學習效法的好榜樣。,陳 總統 表示 這 群 青少年 經歷 了 一 場 身體 與 智慧 的 洗禮 成功 的 以 活力 展現 成長 的 過程 與 精神 正 是 全體 國人 學習 效法 的 好 榜樣,34,"{'High': 31, 'Low': 3}","{'Unknown': 4, '第4級': 4, '第4*級': 4, '第1級': 7, '第5級': 5, '第2級': 2, '第1*級': 1, '第7級': 1, '第3*級': 3, '第6級': 3}",1,Y,Y
150,陳總統又說，這項活動是體力與智慧的平衡，平衡的藝術不僅是成長過程需要的，在治國的理念中，也需要平衡的藝術，捨與得，悲與喜，小我與大我，個人與家庭等，都需要平衡的藝術。,陳 總統 又 說 這 項 活動 是 體力 與 智慧 的 平衡 平衡 的 藝術 不僅 是 成長 過程 需要 的 在 治國 的 理念 中 也 需要 平衡 的 藝術 捨 與 得 悲 與 喜 小我 與 大我 個人 與 家庭 等 都 需要 平衡 的 藝術,50,"{'High': 46, 'Low': 4}","{'Unknown': 9, '第4級': 7, '第1*級': 2, '第1級': 12, '第5級': 7, '第2級': 5, '第4*級': 5, '第6級': 2, '第3*級': 1}",0,Y,Y
151,由教練薛慶光帶領的苗栗青少年方毅智、張銘傑、古佳弘、薛偉翔、邱義峰、張景禹、薛偉仁等人，是在昨天清晨到總統府和陳總統見面。,由 教練 薛慶光 帶領 的 苗栗 青少年 方毅智 張銘傑 古佳弘 薛偉翔 邱義峰 張景禹 薛偉仁 等 人 是 在 昨天 清晨 到 總統府 和 陳總統 見面,25,"{'High': 16, 'Low': 9}","{'第4*級': 2, '第5級': 3, 'Unknown': 11, '第1級': 5, '第4級': 1, '第3*級': 1, '第1*級': 1, '第2*級': 1}",11,Y,Y
152,曾志朗說故事小朋友意猶未盡,曾志朗 說 故事 小朋友 意猶未盡,5,"{'Low': 2, 'High': 3}","{'Unknown': 2, '第1級': 1, '第2級': 2}",3,Y,Y
153,【記者劉偉瑩報導】致力推廣兒童閱讀的教育部長曾志朗，昨天到位於臺北的資策會科展中心「娃娃資訊展」活動現場說故事給小朋友聽。平時再忙也不忘抽空看看書的曾部長，說故事的技術果然棒，當「阿朗伯伯」開始說故事時，小朋友的神情都變得非常專注。,記者 劉偉瑩 報導 致力 推廣 兒童 閱讀 的 教育部長 曾志朗 昨天 到 位於 臺北 的 資策會 科展 中心 娃娃 資訊展 活動 現場 說 故事 給 小朋友 聽 平時 再 忙 也 不忘 抽空 看看 書 的 曾 部長 說 故事 的 技術 果然 棒 當 阿朗 伯伯 開始 說 故事 時 小朋友 的 神情 都 變 得 非常 專注,59,"{'High': 53, 'Low': 6}","{'第4級': 6, 'Unknown': 13, '第5級': 4, '第6級': 3, '第1級': 15, '第3級': 1, '第4*級': 3, '第2級': 9, '第1*級': 3, '第2*級': 1, '第3*級': 1}",7,Y,Y
154,昨天是「娃娃資訊展」活動的最後一天，也是新的一年開始，曾部長出現為小朋友講故事，也象徵在新的一年裡，兒童閱讀的熱潮將繼續燃燒下去。阿朗伯伯昨天講「艾比的新朋友」，藉著故事裡的情節，鼓勵小朋友要懂得「分享」的道理。不過故事開始前，部長先秀了一個小把戲，使得原本因為他出現而鬧哄哄的場面，馬上靜了下來，每一雙小眼睛都緊盯著這位會說故事又會變魔術的部長伯伯。部長說故事時唱作俱佳，小朋友聽到有趣的地方，忍不住哈哈大笑。,昨天 是 娃娃 資訊展 活動 的 最後 一 天 也 是 新 的 一 年 開始 曾 部長 出現 為 小朋友 講 故事 也 象徵 在 新 的 一 年 裡 兒童 閱讀 的 熱潮 將 繼續 燃燒 下去 阿朗 伯伯 昨天 講 艾比 的 新 朋友 藉著 故事 裡 的 情節 鼓勵 小朋友 要 懂得 分享 的 道理 不過 故事 開始 前 部長 先 秀 了 一 個 小把戲 使得 原本 因為 他 出現 而 鬧哄哄 的 場面 馬上 靜 了 下來 每 一 雙 小 眼睛 都 緊 盯 著 這 位 會 說 故事 又 會 變 魔術 的 部長 伯伯 部長 說 故事 時 唱 作 俱佳 小朋友 聽到 有趣 的 地方 忍不住 哈哈 大笑,119,"{'High': 113, 'Low': 6}","{'第1級': 38, '第4*級': 4, 'Unknown': 21, '第2級': 18, '第4級': 10, '第6級': 4, '第1*級': 13, '第5級': 7, '第2*級': 2, '第3*級': 1, '第3級': 1}",7,Y,Y
155,聽完故事，小朋友似乎意猶未盡，主動提出問題，問部長「是不是讀了很多書才能作部長」；也有小朋友天真的希望部長能到他就讀的學校裡為大家講故事，雖然引起一陣笑聲，但部長認真回答小朋友，他一定會找機會。最後，曾部長與小朋友一起倒數，在互祝新年快樂聲中，結束這一場有趣的部長伯伯說故事活動。,聽完 故事 小朋友 似乎 意猶未盡 主動 提出 問題 問 部長 是 不 是 讀 了 很多 書 才 能 作 部長 也 有 小朋友 天真 的 希望 部長 能 到 他 就讀 的 學校 裡 為 大家 講 故事 雖然 引起 一 陣 笑聲 但 部長 認真 回答 小朋友 他 一定 會 找 機會 最後 曾 部長 與 小朋友 一起 倒數 在 互祝 新年 快樂 聲 中 結束 這 一 場 有趣 的 部長 伯伯 說 故事 活動,78,"{'Low': 4, 'High': 74}","{'Unknown': 17, '第2級': 16, '第5級': 4, '第4*級': 3, '第1級': 22, '第1*級': 8, '第4級': 2, '第3級': 3, '第2*級': 2, '第3*級': 1}",5,Y,Y
156,享受冬陽,享受 冬陽,2,"{'High': 1, 'Low': 1}","{'第4級': 1, 'Unknown': 1}",0,N,Y
157,元旦假期全國各地都是陽光普照，親子也都利用假日全家出遊，在二十一世紀的第一天，享受和煦的陽光。未來幾天也將是晴朗的好天氣，不過早晚溫差大，親子出門別忘了添加衣物。,元旦 假期 全 國 各 地 都 是 陽光 普照 親子 也 都 利用 假日 全 家 出遊 在 二十一世紀 的 第一 天 享受 和煦 的 陽光 未來 幾 天 也 將 是 晴朗 的 好 天氣 不過 早晚 溫差 大 親子 出門 別 忘 了 添加 衣物,48,"{'Low': 7, 'High': 41}","{'第4*級': 3, '第4級': 3, '第2級': 5, '第1級': 15, 'Unknown': 8, '第5級': 5, '第3*級': 2, '第6級': 2, '第1*級': 3, '第3級': 1, '第2*級': 1}",1,Y,Y
158,輔迪冬令營將在南投舉行,輔迪 冬令營 將 在 南投 舉行,6,"{'Low': 2, 'High': 4}","{'Unknown': 3, '第5級': 1, '第1*級': 1, '第4級': 1}",1,N,Y
159,【記者劉偉瑩報導】金車教育基金會「二○○一輔迪冬令營」已經開鑼。今年寒假為青少年朋友提供一項戶外休閒新選擇「南投農村休閒營」，讓青少年感受農村風貌。,記者 劉偉瑩 報導 金車 教育 基金會 二一 輔迪 冬令營 已經 開鑼 今年 寒假 為 青少年 朋友 提供 一 項 戶外 休閒 新 選擇 南投 農村 休閒營 讓 青少年 感受 農村 風貌,31,"{'High': 24, 'Low': 7}","{'第4級': 4, 'Unknown': 10, '第5級': 5, '第3級': 2, '第2級': 2, '第1級': 4, '第4*級': 2, '第3*級': 1, '第7級': 1}",6,Y,Y
160,南投農村休閒營將進入南投山區，帶領學生認識荒野自然、溪邊生態和蔬果種植，並且安排鄉土童玩、焢土窯、鳥類觀察等，洽詢電話：（○二）二二六八○二七三。,南投 農村 休閒營 將 進入 南投 山區 帶領 學生 認識 荒野 自然 溪 邊 生態 和 蔬果 種植 並且 安排 鄉土 童玩 焢土窯 鳥類 觀察 等 洽詢 電話 二 二二六八二七三,30,"{'High': 24, 'Low': 6}","{'Unknown': 11, '第5級': 6, '第4級': 3, '第1級': 3, '第2級': 1, '第6級': 3, '第3*級': 2, '第1*級': 1}",3,Y,Y
